symbol,name,marketcapital,pettm
MCHP,微芯科技,1.80102109E10,1087.86
GPN,环汇有限公司,1.79460624E10,29.08
CLR,大陆能源,1.78607766E10,10.89
SPLK,Splunk,1.78403676E10,
XLK,科技行业ETF-SPDR,1.77825921E10,7.69
EXPE,Expedia,1.762803838792E10,77.95
AAL,美国航空,1.760071185505E10,3.73
CERN,塞纳,1.75946744E10,21.45
TSN,泰森食品,1.75574482E10,7.25
KB,韩国国民银行,1.75523223E10,5.42
IWR,iShares Russell Mid-Cap ETF,1.74565215E10,165.57
EIX,爱迪生国际,1.74341576E10,37.68
VGT,信息科技ETF-Vanguard,1.74231838E10,4.27
SHG,新韩金融,1.73699309E10,7.74
BMRN,拜玛林制药,1.7362836E10,
DXC,DXC Technology Company,1.73502377E10,8.75
POT,加拿大钾肥,1.73493866E10,36.23
FANG,"Diamondback Energy, Inc. - Commmon Stock",1.73356044E10,16.03
FITB,五三银行,1.73148085E10,8.66
SEP,"Spectra Energy Partners, LP Common Units representing Limited Partner Interests",1.71653492E10,63.21
BBY,百思买,1.7162488815E10,18.01
PBA,Pembina Pipeline Corp. Ordinary Shares (Canada),1.711292E10,17.17
SDY,红利股ETF-SPDR,1.7076413E10,7.77
ESS,埃塞克斯信托,1.70566867E10,45.37
PAA,"Plains All American Pipeline, L.P.",1.70310832E10,15.74
ALGN,爱齐科技,1.70102783E10,55.53
IDXX,IDEXX实验室,1.69794055E10,52.93
MKC,味好美,1.69793044E10,20.63
CTRP,携程,1.696627296E10,36.82
DVY,红利股ETF-iShares,1.6965366E10,43.83
NEM,纽蒙特矿业,1.6922711E10,
GWW,固安捷,1.68555882E10,23.62
ULTA,"Ulta Beauty, Inc.",1.6838718E10,26.31
BLL,鲍尔包装,1.67899647E10,37.79
MGA,曼格纳国际,1.67471673E10,8.06
RMD,瑞思迈,1.67308955E10,50.61
AWK,美国水业,1.67162244E10,36.73
CHKP,Check Point 软件,1.66898689E10,19.04
INCY,因塞特,1.6688415E10,
ANET,"Arista Networks, Inc.",1.66716961E10,68.22
OMC,宏盟,1.66622569E10,14.41
KEY,KeyCorp,1.6648484E10,17.95
LNG,Cheniere Energy,1.66461524E10,29.32
SNN,"Smith & Nephew SNATS, Inc.",1.66264537E10,
CHD,丘奇＆德怀特,1.65936226E10,26.53
CBS,哥伦比亚广播公司,1.65791858E10,13.03
CTL,世纪电信,1.65773132E10,6.56
HIG,哈特福德金融,1.65412625E10,
ITOT,iShares Core S&P Total U.S. Stock Market ETF,1.6533729E10,139.47
AME,亚美特克,1.65336207E10,20.59
