,0,1,2,3,4,5
0,002216.SZ,3,0,0,0,0
0,002217.SZ,17,12,7,6,4
0,002218.SZ,12,11,9,9,9
0,002219.SZ,15,11,9,7,6
0,002220.SZ,12,10,7,7,6
0,002221.SZ,2,1,1,1,1
0,002222.SZ,5,3,1,0,0
0,002223.SZ,5,2,1,1,0
0,002224.SZ,5,2,2,2,2
0,002225.SZ,6,4,2,1,1
0,002226.SZ,15,11,6,6,6
0,002227.SZ,12,9,7,6,3
0,002228.SZ,14,7,5,4,4
0,002229.SZ,25,17,12,9,9
0,002230.SZ,15,9,7,4,2
0,002231.SZ,15,13,12,10,10
0,002232.SZ,9,6,6,6,6
0,002233.SZ,6,1,1,1,0
0,002234.SZ,28,22,18,12,12
0,002235.SZ,28,17,13,10,9
0,002236.SZ,22,12,9,6,6
0,002237.SZ,5,5,4,4,4
0,002238.SZ,13,10,8,8,8
0,002239.SZ,8,4,3,3,3
0,002240.SZ,12,8,6,2,1
0,002241.SZ,13,9,7,5,3
0,002242.SZ,2,0,0,0,0
0,002243.SZ,34,31,30,28,27
0,002244.SZ,5,3,0,0,0
0,002245.SZ,9,5,4,2,1
0,002246.SZ,6,2,2,1,1
0,002247.SZ,7,6,3,2,2
0,002248.SZ,12,5,5,2,2
0,002249.SZ,8,5,5,4,4
0,002250.SZ,12,5,4,2,1
0,002251.SZ,4,2,1,1,0
0,002252.SZ,10,10,7,7,7
0,002253.SZ,6,5,3,3,2
0,002254.SZ,1,1,0,0,0
0,002255.SZ,7,3,1,0,0
0,002256.SZ,21,15,11,10,10
0,002258.SZ,11,8,6,4,2
0,002259.SZ,13,6,5,5,5
0,002260.SZ,17,0,0,0,0
0,002261.SZ,13,10,6,6,6
0,002262.SZ,16,11,5,4,4
0,002263.SZ,12,2,2,2,1
0,002264.SZ,15,12,10,9,8
0,002265.SZ,13,8,8,7,7
0,002266.SZ,5,2,1,0,0
0,002267.SZ,3,0,0,0,0
0,002268.SZ,17,14,7,4,2
0,002269.SZ,5,3,2,2,2
0,002270.SZ,15,12,11,11,10
0,002271.SZ,16,6,5,4,2
0,002272.SZ,8,6,2,2,2
