id,Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Exchange,index,Name_CN
6994,ALPN,"Alpine Immune Sciences, Inc.",5.75,79651668,,2015.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alpn,NASDAQ,137,
6995,AMR,"Alta Mesa Resources, Inc.",1.205,458959280.555,,2017.0,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/amr,NASDAQ,138,
6996,AMRWW,"Alta Mesa Resources, Inc.",0.083,0,,2017.0,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/amrww,NASDAQ,139,
6997,AABA,Altaba Inc.,63.89,38499943477.59,,,Technology,EDP Services,https://www.nasdaq.com/symbol/aaba,NASDAQ,140,
6998,ALTR,Altair Engineering Inc.,30.25,2127434130.25,,2017.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/altr,NASDAQ,141,
6999,ALT,"Altimmune, Inc.",3.15,27579069,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alt,NASDAQ,142,
7000,ASPS,Altisource Portfolio Solutions S.A.,23.46,391177905,,,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/asps,NASDAQ,143,
7001,AIMC,Altra Industrial Motion Corp.,27.7,1785007279.2,,2006.0,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aimc,NASDAQ,144,
7002,ALTM,Altus Midstream Company,8.57,2784644143.85,,2017.0,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/altm,NASDAQ,145,
7003,AMAG,"AMAG Pharmaceuticals, Inc.",16.55,572741878,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amag,NASDAQ,146,
7004,AMAL,Amalgamated Bank,19.15,608425852.75,,2018.0,Consumer Non-Durables,Textiles,https://www.nasdaq.com/symbol/amal,NASDAQ,147,
7005,AMRN,Amarin Corporation plc,16.61,4945879324.21,297765161.0,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amrn,NASDAQ,148,
7006,AMRK,"A-Mark Precious Metals, Inc.",11.95,84025827.5,,,Basic Industries,Other Specialty Stores,https://www.nasdaq.com/symbol/amrk,NASDAQ,149,
7007,AMZN,"Amazon.com, Inc.",1683.78,823315596453.84,,1997.0,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/amzn,NASDAQ,150,亚马逊
7008,AMBC,"Ambac Financial Group, Inc.",18.84,854135477.52,,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ambc,NASDAQ,151,
7009,AMBCW,"Ambac Financial Group, Inc.",9.122,0,,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ambcw,NASDAQ,152,
7010,AMBA,"Ambarella, Inc.",35.2,1128195587.2,,2012.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/amba,NASDAQ,153,
7011,AMCX,AMC Networks Inc.,63.0,3561364674,,,Consumer Services,Television Services,https://www.nasdaq.com/symbol/amcx,NASDAQ,154,
7012,AMCI,AMCI Acquisition Corp.,,0,,2018.0,Finance,Business Services,https://www.nasdaq.com/symbol/amci,NASDAQ,155,
7013,AMCIU,AMCI Acquisition Corp.,9.94,0,,2018.0,Finance,Business Services,https://www.nasdaq.com/symbol/amciu,NASDAQ,156,
7014,AMCIW,AMCI Acquisition Corp.,,0,,2018.0,Finance,Business Services,https://www.nasdaq.com/symbol/amciw,NASDAQ,157,
7015,DOX,Amdocs Limited,59.5,8304747307.5,,,Technology,EDP Services,https://www.nasdaq.com/symbol/dox,NASDAQ,158,
7016,AMED,Amedisys Inc,126.5,4033907773.5,,,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/amed,NASDAQ,159,
7017,UHAL,Amerco,345.4,6772529975.2,,,Consumer Services,Rental/Leasing Companies,https://www.nasdaq.com/symbol/uhal,NASDAQ,160,
7018,AMRH,"Ameri Holdings, Inc.",0.225,8911703.025,,,Technology,Semiconductors,https://www.nasdaq.com/symbol/amrh,NASDAQ,161,
7019,AMRHW,"Ameri Holdings, Inc.",0.03,0,,,Technology,Semiconductors,https://www.nasdaq.com/symbol/amrhw,NASDAQ,162,
7020,ATAX,"America First Multifamily Investors, L.P.",5.98,361911160.78,,,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/atax,NASDAQ,163,
7021,AMOV,"America Movil, S.A.B. de C.V.",15.67,51737476439.42,,,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amov,NASDAQ,164,
